12;01/04/2004;"Industrial";"Venta";"Girona";187;999328;04/05/2004;"Carmen"
14;01/04/2004;"Local";"Venta";"Tarragona";68;664700;10/01/2004;"Carmen"
18;01/06/2004;"Suelo";"Venta";"Barcelona";283;1679605;06/06/2004;"Carmen"
21;01/09/2004;"Industrial";"Venta";"Barcelona";228;2020992;06/12/2004;"Carmen"
55;01/22/2004;"Local";"Venta";"Girona";127;983234;07/09/2004;"Carmen"
61;01/24/2004;"Casa";"Venta";"Tarragona";120;1140840;09/12/2004;"Carmen"
71;01/28/2004;"Casa";"Venta";"Girona";235;1939925;11/01/2004;"Carmen"
72;01/28/2004;"Suelo";"Venta";"Tarragona";216;1478952;10/15/2004;"Carmen"
79;01/31/2004;"Parking";"Venta";"Barcelona";298;2520484;11/27/2004;"Carmen"
84;02/02/2004;"Piso";"Venta";"Barcelona";94;470940;07/28/2004;"Carmen"
98;02/07/2004;"Casa";"Venta";"Lleida";227;1467782;02/01/2005;"Carmen"
115;02/14/2004;"Industrial";"Venta";"Tarragona";54;438750;08/15/2004;"Carmen"
125;02/19/2004;"Industrial";"Venta";"Girona";118;1067192;08/25/2004;"Carmen"
131;02/21/2004;"Local";"Venta";"Lleida";55;477345;09/04/2004;"Carmen"
163;03/05/2004;"Local";"Venta";"Tarragona";266;1161090;11/23/2004;"Carmen"
175;03/10/2004;"Local";"Venta";"Barcelona";52;416936;08/25/2004;"Carmen"
188;03/16/2004;"Casa";"Venta";"Lleida";63;537264;02/08/2005;"Carmen"
195;03/19/2004;"Piso";"Venta";"Girona";62;250852;07/21/2004;"Carmen"
197;03/20/2004;"Piso";"Venta";"Tarragona";87;519738;01/13/2005;"Carmen"
214;03/26/2004;"Industrial";"Venta";"Girona";163;1385011;08/26/2004;"Carmen"
229;04/01/2004;"Oficina";"Venta";"Tarragona";117;739206;01/25/2005;"Carmen"
234;04/03/2004;"Suelo";"Venta";"Girona";230;1722700;03/26/2005;"Carmen"
236;04/03/2004;"Industrial";"Venta";"Girona";226;2104286;08/26/2004;"Carmen"
241;04/06/2004;"Local";"Venta";"Lleida";260;2038660;07/26/2004;"Carmen"
